ids,labels,parents
ACC-NCAA-S16,Virginia Tech-S16,ACC-NCAA-Virginia Tech
SEC-NCAA-S16,LSU-S16,SEC-NCAA-LSU
P12-NCAA-S16,Oregon-S16,P12-NCAA-Oregon
B10-NCAA-S16,Michigan-S16,B10-NCAA-Michigan
Amer-NCAA-R68,Temple-R68,Amer-NCAA-Temple
BE-NCAA-R68,St. John's-R68,BE-NCAA-St. John's
MEAC-NCAA-R68,North Carolina Central-R68,MEAC-NCAA-North Carolina Central
SWAC-NCAA-R68,Prairie View A&M-R68,SWAC-NCAA-Prairie View A&M
Amer-NCAA-R64,Cincinnati-R64,Amer-NCAA-Cincinnati
BE-NCAA-R64,Marquette-R64,BE-NCAA-Marquette
Ivy-NCAA-R64,Yale-R64,Ivy-NCAA-Yale
Horz-NCAA-R64,Northern Kentucky-R64,Horz-NCAA-Northern Kentucky
CUSA-NCAA-R64,Old Dominion-R64,CUSA-NCAA-Old Dominion
CAA-NCAA-R64,Northeastern-R64,CAA-NCAA-Northeastern
BSth-NCAA-R64,Gardner Webb-R64,BSth-NCAA-Gardner Webb
BSky-NCAA-R64,Montana-R64,BSky-NCAA-Montana
BE-NCAA-R64,Seton Hall-R64,BE-NCAA-Seton Hall
B12-NCAA-R64,Kansas St.-R64,B12-NCAA-Kansas St.
AE-NCAA-R64,Vermont-R64,AE-NCAA-Vermont
B12-NCAA-R64,Iowa St.-R64,B12-NCAA-Iowa St.
B10-NCAA-R64,Wisconsin-R64,B10-NCAA-Wisconsin
A10-NCAA-R64,Saint Louis-R64,A10-NCAA-Saint Louis
A10-NCAA-R64,VCU-R64,A10-NCAA-VCU
ACC-NCAA-R64,Louisville-R64,ACC-NCAA-Louisville
MWC-NCAA-R64,Nevada-R64,MWC-NCAA-Nevada
ACC-NCAA-R64,Syracuse-R64,ACC-NCAA-Syracuse
MVC-NCAA-R64,Bradley-R64,MVC-NCAA-Bradley
MAAC-NCAA-R64,Iona-R64,MAAC-NCAA-Iona
MWC-NCAA-R64,Utah St.-R64,MWC-NCAA-Utah St.
SEC-NCAA-R64,Mississippi-R64,SEC-NCAA-Mississippi
WCC-NCAA-R64,Saint Mary's-R64,WCC-NCAA-Saint Mary's
Sum-NCAA-R64,North Dakota St.-R64,Sum-NCAA-North Dakota St.
Slnd-NCAA-R64,Abilene Christian-R64,Slnd-NCAA-Abilene Christian
SEC-NCAA-R64,Mississippi St.-R64,SEC-NCAA-Mississippi St.
WAC-NCAA-R64,New Mexico St.-R64,WAC-NCAA-New Mexico St.
SB-NCAA-R64,Georgia St.-R64,SB-NCAA-Georgia St.
Pat-NCAA-R64,Colgate-R64,Pat-NCAA-Colgate
P12-NCAA-R64,Arizona St.-R64,P12-NCAA-Arizona St.
OVC-NCAA-R64,Belmont-R64,OVC-NCAA-Belmont
NEC-NCAA-R64,Fairleigh Dickinson-R64,NEC-NCAA-Fairleigh Dickinson
MAC-NCAA-R32,Buffalo-R32,MAC-NCAA-Buffalo
B10-NCAA-R32,Iowa-R32,B10-NCAA-Iowa
B10-NCAA-R32,Maryland-R32,B10-NCAA-Maryland
B10-NCAA-R32,Minnesota-R32,B10-NCAA-Minnesota
B10-NCAA-R32,Ohio St.-R32,B10-NCAA-Ohio St.
B12-NCAA-R32,Baylor-R32,B12-NCAA-Baylor
B12-NCAA-R32,Kansas-R32,B12-NCAA-Kansas
B12-NCAA-R32,Oklahoma-R32,B12-NCAA-Oklahoma
BE-NCAA-R32,Villanova-R32,BE-NCAA-Villanova
BSth-NCAA-R32,Liberty-R32,BSth-NCAA-Liberty
BW-NCAA-R32,UC Irvine-R32,BW-NCAA-UC Irvine
Amer-NCAA-R32,UCF-R32,Amer-NCAA-UCF
OVC-NCAA-R32,Murray St.-R32,OVC-NCAA-Murray St.
P12-NCAA-R32,Washington-R32,P12-NCAA-Washington
SC-NCAA-R32,Wofford-R32,SC-NCAA-Wofford
SEC-NCAA-R32,Florida-R32,SEC-NCAA-Florida
B10-NCAA-F4,Michigan St.-F4,B10-NCAA-Michigan St.
SEC-NCAA-F4,Auburn-F4,SEC-NCAA-Auburn
ACC-NCAA-E8,Duke-E8,ACC-NCAA-Duke
SEC-NCAA-E8,Kentucky-E8,SEC-NCAA-Kentucky
WCC-NCAA-E8,Gonzaga-E8,WCC-NCAA-Gonzaga
B10-NCAA-E8,Purdue-E8,B10-NCAA-Purdue
ACC-NCAA-Champions,Virginia-Champions,ACC-NCAA-Virginia
B12-NCAA-2ND,Texas Tech-2ND,B12-NCAA-Texas Tech
